"#","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1","Mike Trout","Angels","91","401","25","68","50","13","19.7 %","19.5 %",".315",".343",".312",".455",".627",".445","192","3.4","46.9","2.5","6.5"
"2","Mookie Betts","Red Sox","72","328","22","72","44","16","12.5 %","12.2 %",".330",".336",".344",".433",".674",".460","195","3.7","40.4","2.4","5.5"
"3","Jose Ramirez","Indians","88","395","24","60","59","19","13.7 %","11.4 %",".294",".271",".288",".390",".582",".406","159","6.2","33.7","6.8","5.5"
"4","Francisco Lindor","Indians","88","414","23","79","57","12","9.7 %","17.1 %",".267",".313",".298",".372",".565",".395","152","0.3","25.6","10.3","5.1"
"5","Aaron Judge","Yankees","87","396","25","64","60","6","16.2 %","31.1 %",".284",".368",".281",".399",".566",".407","162","1.1","29.9","2.2","4.7"
"6","Jose Altuve","Astros","93","410","9","61","44","13","9.5 %","12.4 %",".148",".373",".337",".403",".485",".383","149","3.5","27.3","-0.7","4.1"
"7","Alex Bregman","Astros","90","408","17","59","57","8","12.7 %","13.0 %",".235",".289",".281",".382",".516",".386","151","0.8","25.5","-1.8","3.8"
"8","Lorenzo Cain","Brewers","74","322","8","50","27","17","14.0 %","16.5 %",".143",".343",".297",".401",".440",".370","131","4.0","16.0","8.8","3.6"
"9","Freddie Freeman","Braves","89","399","16","56","59","6","12.8 %","18.0 %",".227",".358",".315",".406",".542",".399","152","0.3","25.7","-3.5","3.6"
"10","J.D. Martinez","Red Sox","86","371","28","66","77","2","9.2 %","23.2 %",".322",".371",".331",".394",".654",".437","180","-2.0","32.7","-10.6","3.5"
"11","Andrelton Simmons","Angels","80","329","6","42","39","5","8.2 %","4.6 %",".128",".307",".307",".369",".436",".349","126","1.3","11.2","12.2","3.5"
"12","J.T. Realmuto","Marlins","66","290","12","45","44","1","5.5 %","19.0 %",".234",".362",".317",".368",".551",".391","149","2.2","19.6","5.1","3.5"
"13","Andrew Benintendi","Red Sox","88","392","14","66","55","16","12.2 %","17.3 %",".222",".330",".296",".380",".518",".382","142","4.5","23.8","-2.8","3.5"
"14","Nolan Arenado","Rockies","84","369","22","58","63","2","12.2 %","19.2 %",".277",".329",".305",".388",".583",".407","142","-1.1","17.7","4.2","3.5"
"15","Paul Goldschmidt","Diamondbacks","89","394","20","60","51","2","13.7 %","26.6 %",".260",".352",".281",".388",".540",".394","148","2.8","25.9","-6.0","3.3"
"16","Jed Lowrie","Athletics","89","388","16","40","62","0","9.5 %","19.6 %",".216",".327",".288",".358",".504",".370","139","0.0","17.6","1.8","3.3"
"17","Eugenio Suarez","Reds","74","326","19","46","68","1","12.0 %","18.1 %",".271",".335",".314",".405",".585",".415","162","-1.4","23.0","-1.8","3.3"
"18","Eddie Rosario","Twins","87","372","18","58","54","6","5.6 %","17.7 %",".231",".327",".300",".340",".531",".368","134","4.8","19.5","-0.5","3.2"
"19","Ozzie Albies","Braves","88","411","18","69","50","8","4.6 %","15.8 %",".231",".296",".281",".320",".512",".353","122","4.2","15.0","3.2","3.2"
"20","Manny Machado","Orioles","90","390","21","44","60","6","10.5 %","13.1 %",".246",".310",".309",".379",".555",".389","149","-0.4","21.9","-3.7","3.2"
"21","Jean Segura","Mariners","84","375","7","61","47","14","4.5 %","13.3 %",".140",".364",".330",".358",".470",".355","130","0.7","14.1","4.0","3.1"
"22","Javier Baez","Cubs","86","340","17","56","65","17","3.8 %","24.1 %",".266",".341",".292",".326",".558",".367","130","5.6","18.1","1.3","3.1"
"23","Matt Chapman","Athletics","75","304","10","43","26","1","10.9 %","23.4 %",".192",".314",".256",".349",".447",".347","123","1.2","9.4","10.3","3.1"
"24","Trea Turner","Nationals","90","407","11","54","37","22","9.8 %","18.7 %",".140",".321",".275",".351",".415",".335","108","4.6","8.7","7.2","3.0"
"25","Brandon Belt","Giants","76","323","13","41","42","2","12.4 %","20.1 %",".206",".353",".303",".396",".509",".385","146","1.6","19.7","-1.2","3.0"
"26","Scooter Gennett","Reds","87","364","14","55","58","2","6.6 %","19.2 %",".187",".369",".322",".366",".509",".372","133","1.3","16.0","0.7","2.9"
"27","Shin-Soo Choo","Rangers","86","397","17","52","42","3","14.1 %","21.7 %",".212",".348",".293",".399",".504",".389","146","1.9","23.3","-8.2","2.9"
"28","Jesus Aguilar","Brewers","80","285","23","46","64","0","9.1 %","26.7 %",".333",".338",".305",".368",".639",".417","162","-0.1","21.3","-3.4","2.8"
"29","Matt Carpenter","Cardinals","84","356","17","53","41","0","14.3 %","23.9 %",".255",".302",".258",".365",".513",".373","137","0.9","16.9","-1.3","2.8"
"30","Aaron Hicks","Yankees","70","292","16","44","42","7","13.0 %","18.8 %",".259",".267",".259",".357",".518",".372","138","2.9","15.9","1.0","2.7"
